Class Name,Ages,Class Start Time,Length of Class,Day,Description,Max Capacity,Year Tuition,Month Tuition,Supply Fee,Classroom,Teacher,Image
Creative Explorers: Nature & Art,5-7,10:30 AM,2 hours,Thursday,"Students explore the outdoors through art by creating nature journals, cyanotypes, leaf printing, found-object sculptures, environmental art, and nature-inspired mixed media while developing observation skills and creativity.",12,660,70,$35,Art Studio,Julia,
Digital Creations,14+,1:00 PM,1 hour,Thursday,"Experiment with modern creative tools and create multimedia projects such as music, podcasts, ebooks, videos, websites, apps, and digital experiences.",12,365,38.5,$30,Teen 2,Viviana,
Digital Product Design,12+,11:30 AM,1 hour,Tuesday,"Learn digital methods for creating products for printables, print on demand, artwork, marketing & branding. This can be a fun hobby or a profitable business. Learn art and design principles, product development and project making using digital software. Make wall art, 3D crafts, charts, journals, planners, greeting cards, books, coloring books, t-shirt/mug/bag etc designs.",12,365,38.5,,Elem 4,Hollie,
Elementary Microschool,5-10,9:30 AM,Full day,Tuesday & Thursday,"Full-day learning community where students grow academically, socially, and personally through hands-on, project-based learning. Each day includes engaging lessons in math, language arts, history, science, and life skills, balanced with creativity, movement, and collaborative iCreation projects. Using our Discover • Create • Become philosophy, students build strong academic foundations while developing character, critical thinking, leadership, and a lifelong love of learning in a supportive mixed-age classroom environment.",12,2800,290,$100,Elem 4,Teacher F,
Exceptional Kids,5-10,1:00 PM,2 hours,Tuesday & Thursday,"Every child learns differently, and this class is designed to celebrate those differences. With a low student-to-teacher ratio, individualized support, and flexible, hands-on activities, students receive the guidance they need to learn, grow, and succeed. Through games, sensory experiences, movement, art, music, life skills, and engaging learning activities, children build confidence, communication, social skills, independence, and a love of learning in a nurturing and encouraging environment.",6,1500,155,$35,Elem 1,Alysa,
Experimental Typography & Graphic Design,8-11,1:00 PM,2 hours,Tuesday,"Students explore visual communication through lettering, illustration, collage, photography, and graphic design while discovering how typography can communicate ideas, personality, and emotion.",12,660,70,$35,Art Studio,Julia,
Expressions,5-7,9:30 AM,1 hour,Tuesday,"Expressions is where communication meets critical thinking. Each month, students dive into an exciting theme while strengthening speaking, presenting, handwriting, typing, design, logic, math thinking, and creative problem-solving skills. Through games, projects, and interactive challenges, they'll build confidence, make connections across subjects, and discover new ways to express their ideas.",12,365,38.5,,Teen 2,Teacher D,
Expressions,7-9,11:30 AM,1 hour,Tuesday,"Expressions is where communication meets critical thinking. Each month, students dive into an exciting theme while strengthening speaking, presenting, handwriting, typing, design, logic, math thinking, and creative problem-solving skills. Through games, projects, and interactive challenges, they'll build confidence, make connections across subjects, and discover new ways to express their ideas.",12,365,38.5,,Teen 2,Teacher D,
Expressions,9-11,1:00 PM,1 hour,Tuesday,"Expressions is where communication meets critical thinking. Each month, students dive into an exciting theme while strengthening speaking, presenting, handwriting, typing, design, logic, math thinking, and creative problem-solving skills. Through games, projects, and interactive challenges, they'll build confidence, make connections across subjects, and discover new ways to express their ideas.",12,365,38.5,,Teen 2,Teacher D,
Fashion 101,12+,10:30 AM,2 hours,Tuesday,"Fashion is more than clothing—it's history, creativity, culture, and self-expression. Students will explore the evolution of fashion through the ages while learning the fundamentals of fashion design, fabrics, sewing, styling, and garment construction. They'll sketch original designs, practice mending and alterations, explore sustainable fashion and upcycling, and transform thrifted finds into unique creations for an end-of-semester fashion showcase. Whether you're interested in design, sewing, or discovering your own style, this hands-on class brings fashion to life.",8,660,70,$75,Art Classroom,Emerson,
Foundations of Drawing & Painting,8-11,10:30 AM,2 hours,Tuesday,"Students build confidence through drawing and painting while learning composition, color theory, perspective, observation, and creative expression using a variety of traditional media.",12,660,70,$45,Art Studio,Julia,
Game Masters,10+,10:30 AM,1 hour,Thursday,"Get ready to dive into the world of educational games where strategy, skill, and smarts come together! In this hands-on, in-person class, students explore a new academic subject each week through board games, card games, and group challenges that boost logic, communication, and teamwork.",12,365,38.5,,Teen 2,Kathryn,
Guitar Jam,10+,9:30 AM,1 hour,Tuesday,"Learn to play one of the world's most versatile instruments! Students will develop fundamental guitar skills such as chords, rhythm, strumming, music reading, and simple melodies while building confidence through fun songs and group playing. Whether you're brand new or have some experience, this class provides an encouraging environment to grow as a musician.",6,365,38.5,,Music Studio,Jay,
Handmade Studio,12+,10:30 AM,1 hour,Thursday,"In this creative, hands-on class, students will learn traditional skills through fun and useful craft projects. Each unit focuses on a new handicraft, like crochet, sewing, soap making, latch hook, and more.",12,365,38.5,$35,Art Classroom,Emerson,
Handmade Studio,7+,2:00 PM,1 hour,Thursday,"In this creative, hands-on class, students will learn traditional skills through fun and useful craft projects. Each unit focuses on a new handicraft, like crochet, sewing, soap making, latch hook, and more.",12,365,38.5,$20,Art Classroom,Emerson,
Handmade Studio,8-12,1:00 PM,1 hour,Tuesday,"In this creative, hands-on class, students will learn traditional skills through fun and useful craft projects. Each unit focuses on a new handicraft, like crochet, sewing, soap making, latch hook, and more.",12,365,38.5,$20,Art Classroom,Emerson,
Hej! Swedish Language & Culture,11+,11:30 AM,1 hour,Thursday,"Say hej to Swedish language and culture! In this immersive class, students will speak, read, and play in Swedish while enjoying music, movies, games, and even food from Sweden, gaining a fun and memorable introduction to Swedish life and culture.",12,365,38.5,,Teen 2,Kathryn,
I Love America,5-9,10:30 AM,1 hour,Tuesday,"Celebrate America's people, history, symbols, and ideals through stories, songs, games, crafts, and hands-on activities. Students will explore what makes our country unique while learning about important historical events, patriotic traditions, geography, and the principles of freedom and good citizenship in a fun and engaging way.",12,365,38.5,,Elem 2,Teacher A,
I Love America,5-9,2:00 PM,1 hour,Tuesday,"Celebrate America's people, history, symbols, and ideals through stories, songs, games, crafts, and hands-on activities. Students will explore what makes our country unique while learning about important historical events, patriotic traditions, geography, and the principles of freedom and good citizenship in a fun and engaging way.",12,365,38.5,,Elem 2,Teacher A,
Illustration: Character Design,10-18,10:30 AM,1 hour,Thursday,"Learn about various artists and illustrators and various art styles such as children's books, vintage, cute characters, fantasy & realistic. We'll create a variety of projects that include both traditional & digital art methods to create a portfolio of characters, environment and page layouts.",12,365,38.5,,Elem 4,Alysa,
Journey Across the USA,8-11,1:00 PM,1 hour,Tuesday,"Pack your bags—we're taking a road trip across America! Students will ""visit"" every state while exploring its geography, history, culture, famous landmarks, music, food, and traditions. Through games, crafts, cooking, maps, and hands-on activities, they'll discover what makes each state unique while gaining a deeper appreciation for our country.",12,365,38.5,,Elem 2,Teacher A,
Group Keyboard,8+,11:30 AM,1 hour,Thursday,"Build a strong musical foundation while learning to play the keyboard. Students will develop beginning piano skills, music reading, rhythm, technique, chords, and simple songs in a fun and encouraging group environment. Keyboard is an excellent starting point for understanding music and developing lifelong musical skills. This class does not include an instrument, but students are welcome to bring their own or arrange a rental.",6,365,38.5,,Music Studio,Jay,
LEGO Robotics (non-competition),10+,1:00 PM,1 hour,Tuesday,"Bring your LEGO creations to life! Students will design, build, and program LEGO robots while learning the fundamentals of coding, engineering, and robotics. Through fun challenges and friendly in-class competitions, they'll strengthen problem-solving, teamwork, and creative thinking—without the commitment of an official competition team.",15,365,38.5,,Teen Large,Xavier,
Lego Lab,5-7,10:30 AM,1 hour,Tuesday,"Discover the amazing world of engineering through LEGO®! Each week students tackle exciting building challenges that strengthen creativity, teamwork, problem-solving, and critical thinking. From simple machines and structures to imaginative inventions, every class encourages kids to design, build, test, improve, and create.",12,365,38.5,,Teen 3,Teacher B,
Lego Lab,5-7,10:30 AM,1 hour,Thursday,"Discover the amazing world of engineering through LEGO®! Each week students tackle exciting building challenges that strengthen creativity, teamwork, problem-solving, and critical thinking. From simple machines and structures to imaginative inventions, every class encourages kids to design, build, test, improve, and create.",12,365,38.5,,Teen 3,Gabby,
Lego Lab,7-9,11:30 AM,1 hour,Tuesday,"Discover the amazing world of engineering through LEGO®! Each week students tackle exciting building challenges that strengthen creativity, teamwork, problem-solving, and critical thinking. From simple machines and structures to imaginative inventions, every class encourages kids to design, build, test, improve, and create.",12,365,38.5,,Teen 3,Teacher B,
Lego Robotics,7-10,2:00 PM,1 hour,Tuesday,"FIRST LEGO League Explore Competition Team. Calling all young engineers! In this year's BioGlow season, students will work together to explore the amazing ways living things use light while designing creative LEGO models and simple programming projects inspired by nature. Through guided STEM challenges, teamwork, storytelling, and hands-on building, students will develop problem-solving, creativity, and engineering skills while preparing for an exciting end-of-season FIRST LEGO League Explore showcase. Supply fee includes a team t-shirt plus first competition registration fee.",12,365,38.5,$75,Theater Large,Teacher B,
Lego Robotics,7-10,9:30 AM,1 hour,Thursday,"FIRST LEGO League Explore Competition Team. Calling all young engineers! In this year's BioGlow season, students will work together to explore the amazing ways living things use light while designing creative LEGO models and simple programming projects inspired by nature. Through guided STEM challenges, teamwork, storytelling, and hands-on building, students will develop problem-solving, creativity, and engineering skills while preparing for an exciting end-of-season FIRST LEGO League Explore showcase. Supply fee includes a team t-shirt plus first competition registration fee.",12,365,38.5,$75,Theater Large,Teacher B,
Lego Robotics Competition,10-14,10:30 AM,1 hour,Thursday,"FIRST LEGO League Challenge Competition Team. Take your robotics skills to the next level as part of our competitive FIRST LEGO League Challenge team! This season's BioGlow theme invites students to explore the fascinating ways living things use light and to develop innovative solutions inspired by the natural world. Team members will design, build, and program LEGO robots, complete official challenge missions, research a real-world problem, and prepare presentations for competition. Along the way, students will develop engineering, coding, teamwork, communication, and problem-solving skills in an exciting, hands-on environment where innovation comes to life. Extra Meetings: Additional practices may be scheduled outside of class as competitions approach. Competition Fees: Team members will share the cost of competition registration and related expenses. Fees will vary depending on the number of team members, competitions attended, and travel requirements. At minimum, the team will participate in one official competition. Fundraising opportunities may be available to help offset costs. Supply fee includes a team t-shirt plus first competition registration fee.",12,365,38.5,$75,Theater Large,Teacher B,
Liberty Quest,8-11,11:30 AM,1 hour,Tuesday,"Step into America's fight for freedom through exciting stories, hands-on activities, and historical adventures. Students will explore the people, events, and principles of the American Revolution while discovering the courage, sacrifice, and ideas that shaped our nation. History comes alive through projects, discussions, games, and interactive experiences.",12,365,38.5,,Elem 2,Teacher A,
Maker: Machines & Robots,8-11,9:30 AM,1 hour,Tuesday,"Become an inventor as you explore how machines and robots work! Students will design, build, and experiment with gears, levers, pulleys, motors, simple robotics, and other mechanical systems through exciting hands-on projects. Along the way, they'll develop engineering, creativity, teamwork, and problem-solving skills while discovering how everyday machines make our world work.",12,365,38.5,,Jr Makerspace,Teacher B,
Maker: Marvelous Machines,7-11,2:00 PM,1 hour,Thursday,"Build, experiment, and discover the science behind amazing machines! Students will create a variety of hands-on mechanical projects while exploring concepts like motion, force, energy, gears, levers, pulleys, and simple engineering. Every class encourages curiosity, creativity, and the inventor's mindset as students learn by making.",12,365,38.5,,Jr Makerspace,Teacher B,
Maker: Remade,8-12,1:00 PM,1 hour,Thursday,"One person's trash is another inventor's treasure! Students will transform recycled and everyday materials into creative inventions, useful projects, works of art, and engineering challenges. Along the way, they'll develop creativity, design thinking, problem-solving, and an appreciation for reusing materials in imaginative ways.",12,365,38.5,,Jr Makerspace,Teacher B,
Media Literacy,14+,9:30 AM,1 hour,Thursday,"Learn how messages shape people. Analyze media, question persuasion, identify bias, and think critically in a world driven by algorithms and digital influence.",12,365,38.5,,Teen Workshop,Viviana,
Miniatures,5-10,9:30 AM,1 hour,Thursday,"Discover the tiny world of miniatures! Students will create adorable small-scale projects using a variety of materials and techniques while developing creativity, fine motor skills, and attention to detail. From tiny rooms and foods to miniature gardens and imaginative creations, each class offers a fun new opportunity to build something little with lots of personality.",12,365,38.5,$10,Art Classroom,Alysa,
MoneyTown,9-12,9:30 AM,1 hour,Tuesday,"Welcome to Money Town, where students earn, spend, save, and run the show! In this hands-on simulation, kids will build their own town economy, take on jobs, earn income, pay bills, and explore how money works in real life, preparing for a trip to JA BizTown.",12,365,38.5,,Teen 3,Teacher C,
MoneyTown,9-12,11:30 AM,1 hour,Thursday,"Welcome to Money Town, where students earn, spend, save, and run the show! In this hands-on simulation, kids will build their own town economy, take on jobs, earn income, pay bills, and explore how money works in real life, preparing for a trip to JA BizTown.",12,365,38.5,,Elem 4,Teacher C,
MoneyTown Jr,7-10,11:30 AM,1 hour,Tuesday,"In Money Town Jr, kids step into a playful, hands-on economy where they earn income through classroom jobs, manage their own money, and explore the basics of running a town, including Market Days where students sell their own goods or services.",12,365,38.5,,Elem 3,Teacher C,
MoneyTown Jr,7-10,9:30 AM,1 hour,Thursday,"In Money Town Jr, kids step into a playful, hands-on economy where they earn income through classroom jobs, manage their own money, and explore the basics of running a town, including Market Days where students sell their own goods or services.",12,365,38.5,,Elem 4,Teacher C,
Montessori Cooking,5-8,1:00 PM,1 hour,Thursday,"Young chefs will build confidence and independence while preparing simple recipes using child-friendly, hands-on techniques. Students will practice measuring, following visual recipes, preparing healthy foods, using kitchen tools safely, and cleaning up after themselves—all while developing practical life skills they'll use for years to come.",10,365,38.5,$60,Break Room,Ashley,
Movie Magic,10-15,11:30 AM,1 hour,Thursday,"Lights, camera, action! In Movie Magic, students will explore how images have been captured and brought to life, from the early days of photography to the digital film age. Along the way, they will experiment with filmmaking techniques, learn how to plan and storyboard scenes, and create their own short films. It is a creative, hands-on experience that blends history, storytelling, and the art of moviemaking.",12,365,38.5,,Art Classroom,Aaron,
Mural Design & Public Art,12+,1:00 PM,2 hours,Thursday,"Students work together to design and paint murals that beautify the school while learning collaboration, composition, color theory, large-scale painting techniques, and community-centered art.",12,660,70,$35,Art Studio,Julia,
Music & Rhythm,5-7,2:00 PM,1 hour,Tuesday & Thursday,"Move, sing, clap, and play your way into music! Through songs, rhythm games, movement, instruments, and musical play, children will develop a steady beat, listening skills, coordination, and musical confidence while discovering the joy of making music together.",12,365,38.5,,Music Studio,Teacher E,
Musical Spanish,12+,11:30 AM,1 hour,Tuesday,"Engage in music, role play, cultural immersion, and conversation-based learning while developing practical Spanish communication skills.",12,365,38.5,,Teen Large,Viviana,
Musical Spanish,5-9,9:30 AM,1 hour,Tuesday,"Engage in music, role play, cultural immersion, and conversation-based learning while developing practical Spanish communication skills.",12,365,38.5,,Teen Large,Viviana,
Musical Spanish,8-12,10:30 AM,1 hour,Tuesday,"Engage in music, role play, cultural immersion, and conversation-based learning while developing practical Spanish communication skills.",12,365,38.5,,Teen Large,Viviana,
Musical Theater,10+,1:00 PM,2 hours,Thursday,"From stage presence to show-stopping performances, students will build confidence and develop core skills in acting, singing, and choreography. Fall semester focuses on fundamentals; winter semester includes a full-scale musical production with extra rehearsals and tech week. Costumes are a collaborative effort between iCreate and parents.",30,660,70,$50,Theater Large,Malena,
Nature Quest,8-12,9:30 AM,1 hour,Thursday,"Get ready for an adventure in Earth and Life Sciences! In Nature Quest, students will explore the wonders of the natural world through hands-on experiments, outdoor investigations, and exciting activities, all aligned with Utah's 4th-8th grade science standards.",12,365,38.5,,Jr Makerspace,Aaron,
Kinder Nature School,5-6,9:30 AM,Full day (3 blocks),Tuesday & Thursday,"Come discover the wonder of learning outside! Through nature exploration, stories, songs, art, practical work, and hands-on adventures, students will follow the seasons and their own curiosity as they observe, create, play, and serve. More than a science class, Nature School nurtures wonder, creativity, responsibility, and a lifelong connection with the outdoors.",16,1800,185,,South Yard,Kirsten,
Outdoor Adventure,8-12,1:00 PM,1 hour,Tuesday & Thursday,"Adventure awaits! Students will learn practical outdoor skills such as navigation, shelter building, fire safety, knot tying, first aid, nature identification, tracking, outdoor cooking, and wilderness survival. Through hands-on challenges and team activities, they'll build confidence, resilience, leadership, and a greater appreciation for the outdoors.",12,365,38.5,,South Yard,Kirsten,
Open Art Studio,10+,9:30 AM,1 hour,Tuesday & Thursday,"Create what inspires you! Students are free to work on their own artistic projects while receiving guidance, encouragement, and instruction from the teacher as needed. Whether drawing, painting, sculpting, or exploring new techniques, Open Art Studio is the perfect place to grow creativity, develop artistic skills, and enjoy the process of making.",12,365,38.5,$50,Art Studio,Julia,
Peak Play Jr PE,5-9,10:30 AM,1 hour,Tuesday,"Get ready to move, play, and grow strong! In Peak Play Jr, students will jump into active games, fun exercises, and movement-based challenges while learning simple health habits like staying hydrated, eating colorful foods, and practicing kindness.",15,365,38.5,,Great Hall,Ashley,
Peak Play Jr PE,5-9,1:00 PM,1 hour,Tuesday & Thursday,"Get ready to move, play, and grow strong! In Peak Play Jr, students will jump into active games, fun exercises, and movement-based challenges while learning simple health habits like staying hydrated, eating colorful foods, and practicing kindness.",15,365,38.5,,Great Hall,Teacher C,
Peak Play PE,8-12,9:30 AM,1 hour,Tuesday,"Get ready to move, stretch, and grow stronger, inside and out! This upbeat class combines active games and fitness challenges with fun lessons on health, nutrition, and wellness.",15,365,38.5,,Great Hall,Ashley,
Peak Play PE,8-12,2:00 PM,1 hour,Tuesday,"Get ready to move, stretch, and grow stronger, inside and out! This upbeat class combines active games and fitness challenges with fun lessons on health, nutrition, and wellness.",15,365,38.5,,Great Hall,Teacher C,
Peak Play PE,8-12,2:00 PM,1 hour,Thursday,"Get ready to move, stretch, and grow stronger, inside and out! This upbeat class combines active games and fitness challenges with fun lessons on health, nutrition, and wellness.",15,365,38.5,,Great Hall,Ashley,
Peak Potential PE,12+,9:30 AM,1 hour,Thursday,"This energizing PE class combines movement, games, and fitness challenges with practical lessons on health, nutrition, and wellness, building strength, stamina, and confidence.",15,365,38.5,,Great Hall,Ashley,
Rhythm & Percussion,8+,9:30 AM,1 hour,Thursday,"Feel the beat! Students will explore rhythm through drums and percussion instruments while developing timing, coordination, listening skills, and musical expression. Through rhythm games, ensemble playing, and exciting performances, students will discover the foundation that keeps all music moving. This class does not include an instrument, but students are welcome to bring their own or arrange a rental.",6,365,38.5,,Music Studio,Jay,
Play Club,5-7,10:30 AM,1 hour,Tuesday,"Welcome to a space where boredom becomes brilliance! Kids will enjoy unstructured playtime guided by mentors who gently support creativity, problem-solving, and self-management. Whenever the weather is above 45 degrees, we will head outside, so come dressed to play in all kinds of weather!",12,365,38.5,,Teen 2,Cassie,
Play Club,5-7,1:00 PM,1 hour,Tuesday & Thursday,"Welcome to a space where boredom becomes brilliance! Kids will enjoy unstructured playtime guided by mentors who gently support creativity, problem-solving, and self-management. Whenever the weather is above 45 degrees, we will head outside, so come dressed to play in all kinds of weather!",12,365,38.5,,Theater Large,Teacher E,
Play Club,7-10,10:30 AM,1 hour,Thursday,"Welcome to a space where boredom becomes brilliance! Kids will enjoy unstructured playtime guided by mentors who gently support creativity, problem-solving, and self-management. Whenever the weather is above 45 degrees, we will head outside, so come dressed to play in all kinds of weather!",12,365,38.5,,Elem 2,Cassie,
"Power, Policy & Profit: US Gov & Econ",14+,10:30 AM,2 hours,Thursday,"Explore constitutional principles, civic responsibility, and the power structures that govern society through discussion, simulations, leadership challenges, and real-world civic scenarios. Learn how economies function, how incentives and global events shape trade, markets, policy, and everyday life.",16,660,70,$20,Teen Large,Xavier,
Reading Tutoring,all ages,9:30 AM,Varies (see note),Tuesday,"Build confidence and become a stronger reader in a fun, encouraging environment. Students receive individualized reading instruction and one-on-one support while also enjoying reading games, partner activities, and guided practice. This small-group class is designed to help each child grow at their own pace while developing a lifelong love of reading.",4,,,,Elem 1,Lisa P.,
Reading Tutoring,all ages,9:30 AM,Varies (see note),Thursday,"Build confidence and become a stronger reader in a fun, encouraging environment. Students receive individualized reading instruction and one-on-one support while also enjoying reading games, partner activities, and guided practice. This small-group class is designed to help each child grow at their own pace while developing a lifelong love of reading.",4,,,,Elem 1,Lisa P.,
Science of Cooking,10-14,10:30 AM,2 hours,Thursday,"Discover the science behind your favorite foods! Taught by a professional chef, students will prepare delicious recipes while exploring the chemistry, physics, and biology that make cooking work. From baking and food safety to flavor, nutrition, and kitchen techniques, this hands-on class blends science with real-world culinary skills.",10,660,70,$100,Break Room,Ashley,
Sensory Science,5-9,2:00 PM,1 hour,Tuesday & Thursday,"Discover science through all five senses! Students will investigate the world around them with hands-on experiments, sensory activities, creative projects, and playful exploration. Each class encourages children to observe, question, create, and discover while building a strong foundation in scientific thinking through engaging, multi-sensory experiences.",12,365,38.5,,Teen 3,Kirsten,
Spanish Adventures,10+,11:30 AM,1 hour,Thursday,"Vamos a aprender espanol! In this interactive beginner course, students will build a strong foundation in Spanish through conversation, vocabulary, games, and cultural exploration. They will learn how to introduce themselves, talk about their interests, and use practical words and phrases in real-life situations.",12,365,38.5,,Teen 3,Gabby,
Spanish Adventures,8-12,2:00 PM,1 hour,Thursday,"Vamos a aprender espanol! In this interactive beginner course, students will build a strong foundation in Spanish through conversation, vocabulary, games, and cultural exploration. They will learn how to introduce themselves, talk about their interests, and use practical words and phrases in real-life situations.",12,365,38.5,,Teen 3,Gabby,
Spanish Adventures Jr,5-7,1:00 PM,1 hour,Thursday,"Hola, amigos! In this fun and engaging class, students will learn basic Spanish words and phrases through games, stories, and movement. From colors and numbers to greetings and everyday vocabulary, they will build confidence and curiosity in a playful, hands-on environment. It is the perfect way to start exploring a new language and culture!",12,365,38.5,,Teen 3,Gabby,
Spanish Adventures Jr,5-9,9:30 AM,1 hour,Thursday,"Hola, amigos! In this fun and engaging class, students will learn basic Spanish words and phrases through games, stories, and movement. From colors and numbers to greetings and everyday vocabulary, they will build confidence and curiosity in a playful, hands-on environment. It is the perfect way to start exploring a new language and culture!",12,365,38.5,,Teen 3,Gabby,
Story Detectives,5-9,2:00 PM,1 hour,Tuesday & Thursday,"Each week, students will journey into captivating stories during an interactive read-aloud session that sparks imagination and meaningful discussion. Through themed tales, students will learn to recognize parts of speech, connect literature to real life, and set personal reading goals at home.",12,365,38.5,,Elem 3,Hollie,
Story Detectives,8-11,1:00 PM,1 hour,Tuesday & Thursday,"Each week, students will journey into captivating stories during an interactive read-aloud session that sparks imagination and meaningful discussion. Through themed tales, students will learn to recognize parts of speech, connect literature to real life, and set personal reading goals at home.",12,365,38.5,,Elem 3,Hollie,
Storybook STEM,5-8,10:30 AM,1 hour,Tuesday,"Each week in Storybook STEM, we will dive into a delightful picture book, then bring the story to life with a fun, hands-on STEM project, exploring science, technology, engineering, and math in a playful, meaningful way.",12,365,38.5,,Jr Makerspace,Teacher D,
Storybook STEM,8-11,2:00 PM,1 hour,Tuesday,"Each week in Storybook STEM, we will dive into a delightful picture book, then bring the story to life with a fun, hands-on STEM project, exploring science, technology, engineering, and math in a playful, meaningful way.",12,365,38.5,,Jr Makerspace,Teacher D,
Group Strings,10+,11:30 AM,1 hour,Tuesday,"Discover the beauty of string instruments in a supportive group setting. Students will develop proper playing technique, music reading, rhythm, tone, and ensemble skills while learning a variety of songs and musical styles. This class is designed for students who are ready to grow as musicians while enjoying the experience of playing together.",8,365,38.5,,Music Studio,Jay,
Sword of Truth,7-12,9:30 AM,1 hour,Tuesday & Thursday,"Become a warrior for truth! Students will learn the fundamentals of foam sword combat while developing honor, courage, discipline, teamwork, and leadership. Through exciting games, friendly battles, and character-building activities, they'll discover that the greatest victories come from choosing goodness, truth, and light in everyday life.",16,365,38.5,,Theater Large,Xavier,
Teen Maker Open Lab,14+,10:30 AM,Varies (see note),Tuesday,"Bring your ideas to life! Approved students have access to the Teen Makerspace to work independently on personal projects while receiving guidance and mentoring as needed. Whether designing, building, prototyping, or creating, students develop technical skills, creativity, perseverance, and confidence through authentic maker experiences. Approval required.",12,,,$50,Teen Workshop,Xavier,
Teen Maker Open Lab,14+,1:00 PM,Varies (see note),Tuesday,"Bring your ideas to life! Approved students have access to the Teen Makerspace to work independently on personal projects while receiving guidance and mentoring as needed. Whether designing, building, prototyping, or creating, students develop technical skills, creativity, perseverance, and confidence through authentic maker experiences. Approval required.",12,,,$50,Teen Workshop,Viviana,
Teen Maker Open Lab,14+,10:30 AM,Varies (see note),Thursday,"Bring your ideas to life! Approved students have access to the Teen Makerspace to work independently on personal projects while receiving guidance and mentoring as needed. Whether designing, building, prototyping, or creating, students develop technical skills, creativity, perseverance, and confidence through authentic maker experiences. Approval required.",12,,,$50,Teen Workshop,Viviana,
Teen Maker Open Lab,14+,1:00 PM,Varies (see note),Thursday,"Bring your ideas to life! Approved students have access to the Teen Makerspace to work independently on personal projects while receiving guidance and mentoring as needed. Whether designing, building, prototyping, or creating, students develop technical skills, creativity, perseverance, and confidence through authentic maker experiences. Approval required.",12,,,$50,Teen Workshop,Xavier,
